channel_id,upload_playlist_id,video_id
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,17rmG2htCAA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,L2iewHJUy2s
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,bM41TSKj-WA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,dcHGKM9zikU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,bQ5_qglOvIA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,vKZijJjXfkY
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,l-py2U5Od8o
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,cMKt4_D9YbU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,KK-Rtl6P_KM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,tXlzlhVpQL0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Z8eycLOkcrE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,UXiV95BO16Q
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,rsx3uNgN7WI
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,MDFJqMzD8ck
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,NTRQhpKe67Y
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,QMWZwtoJtII
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,kFewsulMQk4
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,ac_M9e2qP6g
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,RgXhK0YqpcI
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,ppPVSavAIPQ
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,h7l-fM9GUGU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Tfj0xEjB43g
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,mIvgJT_mgT0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,COqb_trJANY
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,rOmmF--VaW0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,YR2WtzUipRU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,DiXUzbRQD5s
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,fBOiCya5oYo
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,X-gFNS3PqpQ
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,aTJMk1RcMkk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,pMB0feySHXM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,aNppWfXGI68
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Ju1QuAsQUo8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,fX8lVux11X0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,KSRukHj0lJ8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,4DB5cu0amNU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Neo9XaJmOtE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,g9XDdz3ofaw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,-yrNBxXVUQY
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,n86V8HSQXf8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,IY-9K_5Z5yw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Q2OQyoiNwhQ
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,BvW665DiNeM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,PlnQYbryXkU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Rrcdv1GeXq8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,G3zfmK1rjLQ
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,lFDyEZAUMG4
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,_rRpesTH1Vo
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,In9jaTAC_aQ
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,5-6UHrJruIE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,9UpFbkj3Erk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,oK4SGMdmsR4
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,lD29WGgdfHw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,sze3-rFPm9I
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,ozK2Emw6_Aw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,4KbmeEQbfck
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,khcgo-HPcio
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,EMPR2P3BpcM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,cFhcCR0mZ8E
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,xKq4leHpLZA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,4QXrORMezBA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,BlimOZ0RZxU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,TnMU_BoM3v0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,t50duYDoFQs
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,rYMofLNz80s
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,C7JF9Emlyp0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,yaX4s-1yrDM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,f6JN_7pmJ8A
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,bSoa9H0PuIE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,tZtQf10aT00
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Yro6vZr4-So
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,oDjjsNfPYVA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,eJmQ_leehy4
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Bwjl6cc3p9Y
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,1txmBsgIM7s
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,FuTpTC9llnU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,_wQjKnwIJAU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,qd03czfaJTs
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,cJLeeRLEVSs
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,RmBzgbk73wI
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,aqVZu4ozye8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,1D4jhskywyA
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,aL_1vDAE2Ys
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,IHVWi_F10yk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,2Q0uy3h9oFU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,fvRbTNKqYvM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,uYrJRZ-jIQM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,yF-ELvGsXk8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,8-tMuJ2P0DA
